Player Name,Number_Identifier,games_played,goals,assists,points,Points.Per.Game,Hall.Of.Famer,X100..Games..Player.,X500..Games..Player.,X1000..Games..Player.,X500..Points,X1000..Points,Top15Pick,Cluster 
John English,8302,3,1,3,4,1.333333333,0,0,0,0,0,0,0,1
Kirill Kaprizov,1499,136,74,85,159,1.169117647,0,1,0,0,0,0,0,1
Todd Bergen,8800,14,11,5,16,1.142857143,0,0,0,0,0,0,0,1
Risto Jalo,9056,3,0,3,3,1,0,0,0,0,0,0,0,1
Jack Quinn,415,2,1,1,2,1,0,0,0,0,0,0,1,1
Damian Surma,4918,2,1,1,2,1,0,0,0,0,0,0,0,1
Jack Drury,839,2,2,0,2,1,0,0,0,0,0,0,0,1
Patrick Sieloff,1980,2,2,0,2,1,0,0,0,0,0,0,0,1
Valtteri Puustinen,786,1,0,1,1,1,0,0,0,0,0,0,0,1
Reilly Walsh,1061,1,0,1,1,1,0,0,0,0,0,0,0,1
Lucas Johansen,1210,1,0,1,1,1,0,0,0,0,0,0,0,1
Carl Sneep,3105,1,0,1,1,1,0,0,0,0,0,0,0,1
Ivan Baranka,3778,1,0,1,1,1,0,0,0,0,0,0,0,1
Jason Herter,7115,1,0,1,1,1,0,0,0,0,0,0,1,1
Dan Ratushny,7131,1,0,1,1,1,0,0,0,0,0,0,0,1
Scott Harlow,8766,1,0,1,1,1,0,0,0,0,0,0,0,1
Murray Wing,10816,1,0,1,1,1,0,0,0,0,0,0,0,1
Yegor Korshkov,1213,1,1,0,1,1,0,0,0,0,0,0,0,1
Brad Fast,4839,1,1,0,1,1,0,0,0,0,0,0,0,1
Dean Morton,7935,1,1,0,1,1,0,0,0,0,0,0,0,1
Jason Robertson,1024,128,58,67,125,0.9765625,0,1,0,0,0,0,0,1
Chris Valentine,9114,105,43,52,95,0.904761905,0,1,0,0,0,0,0,1
Matthew Beniers,207,10,3,6,9,0.9,0,0,0,0,0,0,1,1
Matthew Boldy,615,47,15,24,39,0.829787234,0,0,0,0,0,0,1,1
Dmitri Kvartalnov,6417,112,42,49,91,0.8125,0,1,0,0,0,0,0,1
Dan McCarthy,9636,5,4,0,4,0.8,0,0,0,0,0,0,0,1
Nikolai Borschevsky,6474,162,49,73,122,0.75308642,0,1,0,0,0,0,0,1
Trevor Zegras,612,99,26,48,74,0.747474747,0,0,0,0,0,0,1,1
Tom Webster,10975,102,33,42,75,0.735294118,0,1,0,0,0,0,0,1
Michael Bunting,1666,105,34,43,77,0.733333333,0,1,0,0,0,0,0,1
Craig Norwich,10057,104,17,58,75,0.721153846,0,1,0,0,0,0,0,1
Joshua Norris,1005,125,52,38,90,0.72,0,1,0,0,0,0,0,1
Sergei Kharin,7328,7,2,3,5,0.714285714,0,0,0,0,0,0,0,1
Ron Snell,10931,7,3,2,5,0.714285714,0,0,0,0,0,0,1,1
Jordan Kyrou,1217,173,46,76,122,0.705202312,0,1,0,0,0,0,0,1
Iain Duncan,8605,127,34,55,89,0.700787402,0,1,0,0,0,0,0,1
Kjell Dahlin,9015,166,57,59,116,0.698795181,0,1,0,0,0,0,0,1
Lucas Raymond,411,82,23,34,57,0.695121951,0,0,0,0,0,0,1,1
