PlayerName,Number_Identifier,Hall.Of.Famer,save_percentage,goalie_wins,X100..Wins,X350..Wins,goalie_losses,goals_against_average,goalie_games_played,Top15Pick,Cluster
Steve Mason,352,0,0.911,205,1,0,183,2.7,476,0,3
Glen Hanlon,1065,0,0.884,167,1,0,202,3.61,476,0,3
Ilya Bryzgalov,526,0,0.912,221,1,0,162,2.58,465,0,3
Denis Herron,1165,0,0.889,146,1,0,203,3.71,462,0,3
Don Edwards,1110,0,0.887,208,1,0,155,3.32,459,0,3
Jim Rutherford,1202,1,0.879,151,1,0,227,3.66,457,1,3
Bob Essensa,951,0,0.895,173,1,0,176,3.15,446,0,3
Frederik Andersen,228,0,0.916,261,1,0,114,2.59,445,0,3
Frederik Andersen,280,0,0.916,261,1,0,114,2.59,445,0,3
Patrick Lalime,723,0,0.905,200,1,0,174,2.58,444,0,3
Phil Myre,1214,0,0.884,149,1,0,198,3.53,439,1,3
James Reimer,356,0,0.913,192,1,0,148,2.8,433,0,3
Daren Puppa,952,0,0.897,179,1,0,161,3.04,429,0,3
Tim Thomas,697,0,0.92,214,1,0,145,2.52,426,0,3
Bob Sauve,1102,0,0.875,182,1,0,154,3.49,420,0,3
Gilles Gilbert,1203,0,0.883,192,1,0,143,3.27,416,0,3
Byron Dafoe,819,0,0.904,171,1,0,170,2.69,415,0,3
Ben Bishop,380,0,0.921,222,1,0,128,2.32,413,0,3
Cory Schneider,398,0,0.918,171,1,0,159,2.43,410,0,3
Rick Wamsley,1034,0,0.881,204,1,0,131,3.34,407,0,3
Chris Terreri,954,0,0.892,151,1,0,172,3.07,406,0,3
Jonathan Bernier,346,0,0.912,165,1,0,163,2.78,404,1,3
Ondrej Pavelec,376,0,0.907,156,1,0,167,2.88,398,0,3
Ken Dryden,1217,1,0.922,258,1,0,57,2.24,397,1,3
Mike Dunham,800,0,0.908,141,1,0,178,2.75,394,0,3
Stephane Fiset,839,0,0.899,164,1,0,153,3.07,390,0,3
Trevor Kidd,797,0,0.901,140,1,0,162,2.84,387,1,3
Richard Brodeur,1175,0,0.872,131,1,0,175,3.86,385,0,3
Ron Low,1200,0,0.869,102,1,0,203,4.29,382,0,3
Connor Hellebuyck,230,0,0.916,201,1,0,129,2.69,381,0,3
Jacob Markstrom,305,0,0.912,169,1,0,152,2.69,378,0,3
John Gibson,243,0,0.915,166,1,0,148,2.67,378,0,3
Johan Hedberg,698,0,0.901,161,1,0,143,2.82,373,0,3
Peter Budaj,495,0,0.904,158,1,0,132,2.7,368,0,3
Garth Snow,872,0,0.901,135,1,0,147,2.81,368,0,3
Andrey Vasilevskiy,218,0,0.919,229,1,0,101,2.5,365,0,3
Manny Legace,727,0,0.912,187,1,0,99,2.41,365,0,3
Robin Lehner,283,0,0.917,152,1,0,141,2.71,364,0,3
Mike Palmateer,1130,0,0.888,149,1,0,138,3.53,356,0,3
Jake Allen,306,0,0.911,168,1,0,126,2.6,353,0,3
Dan Cloutier,681,0,0.899,139,1,0,142,2.76,351,0,3
Pat Riggin,1030,0,0.879,153,1,0,120,3.43,350,0,3
Marc Denis,654,0,0.902,112,1,0,179,3.02,349,0,3
Kevin Weekes,711,0,0.903,105,1,0,163,2.87,348,0,3
Thomas Greiss,404,0,0.912,155,1,0,120,2.72,347,0,3
Mathieu Garon,629,0,0.903,144,1,0,131,2.83,341,0,3
Tim Cheveldae,890,0,0.883,149,1,0,136,3.49,340,0,3
Clint Malarchuk,995,0,0.885,141,1,0,130,3.47,337,0,3
Craig Billington,929,0,0.877,110,1,0,149,3.63,332,0,3
Mark Fitzpatrick,864,0,0.896,113,1,0,136,3.12,329,0,3
Roman Turek,807,0,0.907,159,1,0,115,2.31,328,0,3
Brian Boucher,653,0,0.901,120,1,0,139,2.71,328,0,3
Manny Fernandez,746,0,0.912,143,1,0,123,2.5,325,0,3
Rick DiPietro,524,0,0.902,130,1,0,136,2.87,318,1,3
Chris Mason,664,0,0.909,137,1,0,113,2.66,317,0,3
Michel Larocque,1164,0,0.882,160,1,0,89,3.34,312,1,3
