Player Name,Number_Identifier,games_played,goals,assists,points,Points.Per.Game,Hall.Of.Famer,X100..Games..Player.,X500..Games..Player.,X1000..Games..Player.,X500..Points,X1000..Points,Top15Pick,Cluster
Auston Matthews,1183,407,259,198,457,1.122850123,0,1,0,0,0,0,1,4
Real Cloutier,9816,318,146,198,344,1.081761006,0,1,0,0,0,0,1,4
Cale Makar,990,178,48,132,180,1.011235955,0,1,0,0,0,0,1,4
Mikko Rantanen,1385,408,165,243,408,1,0,1,0,0,0,0,1,4
Hakan Loob,9292,450,193,236,429,0.953333333,0,1,0,0,0,0,0,4
Jack Eichel,1377,409,153,227,380,0.929095355,0,1,0,0,0,0,1,4
Jake Guentzel,1822,375,161,180,341,0.909333333,0,1,0,0,0,0,0,4
Sergei Makarov,8698,424,134,250,384,0.905660377,1,1,0,0,0,0,0,4
Elias Pettersson,991,245,97,124,221,0.902040816,0,1,0,0,0,0,1,4
Sebastian Aho,1409,445,182,219,401,0.901123596,0,1,0,0,0,0,0,4
Paul Gardner,9818,447,201,201,402,0.899328859,0,1,0,0,0,0,1,4
Kyle Connor,1392,384,178,166,344,0.895833333,0,1,0,0,0,0,0,4
Matthew Tkachuk,1188,431,152,230,382,0.886310905,0,1,0,0,0,0,1,4
Brayden Point,1633,417,167,201,368,0.882494005,0,1,0,0,0,0,0,4
Blair MacDonald,10423,219,91,100,191,0.872146119,0,1,0,0,0,0,0,4
Tom McCarthy,9330,460,178,221,399,0.867391304,0,1,0,0,0,0,1,4
Mathew Barzal,1391,362,91,220,311,0.859116022,0,1,0,0,0,0,0,4
Alexander Debrincat,1221,368,160,147,307,0.83423913,0,1,0,0,0,0,0,4
Quinn Hughes,805,205,19,146,165,0.804878049,0,1,0,0,0,0,1,4
Patrik Laine,1184,407,176,151,327,0.803439803,0,1,0,0,0,0,1,4
Adam Fox,1243,203,24,139,163,0.802955665,0,1,0,0,0,0,0,4
Brock Boeser,1397,324,121,135,256,0.790123457,0,1,0,0,0,0,0,4
William Nylander,1570,439,137,206,343,0.781321185,0,1,0,0,0,0,1,4
Doug Shedden,9215,416,139,186,325,0.78125,0,1,0,0,0,0,0,4
Reijo Ruotsalainen,9238,446,107,237,344,0.771300448,0,1,0,0,0,0,0,4
Nikolaj Ehlers,1571,478,164,194,358,0.748953975,0,1,0,0,0,0,1,4
Don Murdoch,9813,320,121,117,238,0.74375,0,1,0,0,0,0,1,4
Bob Sirois,10172,286,92,120,212,0.741258741,0,1,0,0,0,0,0,4
Roland Eriksson,10239,193,48,95,143,0.740932642,0,1,0,0,0,0,0,4
Andrei Svechnikov,800,283,89,120,209,0.738515901,0,1,0,0,0,0,1,4
Tony Currie,9704,290,92,119,211,0.727586207,0,1,0,0,0,0,0,4
Pavel Buchnevich,1820,374,109,162,271,0.72459893,0,1,0,0,0,0,0,4
Chuck Lefley,10745,407,128,164,292,0.717444717,0,1,0,0,0,0,1,4
Vladimir Ruzicka,8776,233,82,85,167,0.716738197,0,1,0,0,0,0,0,4
Ladislav Nagy,5406,435,115,196,311,0.714942529,0,1,0,0,0,0,0,4
Glen Sharpley,9810,389,117,161,278,0.714652956,0,1,0,0,0,0,1,4
Roope Hintz,1422,239,80,90,170,0.711297071,0,1,0,0,0,0,0,4
Clayton Keller,1189,360,96,160,256,0.711111111,0,1,0,0,0,0,1,4
Dylan Larkin,1577,504,147,211,358,0.71031746,0,1,1,0,0,0,1,4
Mike Eaves,9910,324,83,143,226,0.697530864,0,1,0,0,0,0,0,4
Brady Tkachuk,802,277,90,102,192,0.693140794,0,1,0,0,0,0,1,4
Darryl Sutter,9596,406,161,118,279,0.687192118,0,1,0,0,0,0,0,4
Nico Hischier,987,300,78,128,206,0.686666667,0,1,0,0,0,0,1,4
Nick Suzuki,999,209,49,94,143,0.684210526,0,1,0,0,0,0,1,4
Tyler Bertuzzi,1806,276,84,104,188,0.68115942,0,1,0,0,0,0,0,4
Robert Thomas,1006,241,42,122,164,0.680497925,0,1,0,0,0,0,0,4
Al McDonough,10763,237,73,88,161,0.679324895,0,1,0,0,0,0,0,4
Rick Blight,9939,326,96,125,221,0.67791411,0,1,0,0,0,0,1,4
Pat Elynuik,7801,506,154,188,342,0.675889328,0,1,1,0,0,0,1,4
Victor Olofsson,1724,188,55,72,127,0.675531915,0,1,0,0,0,0,0,4
Kevin Fiala,1573,419,124,159,283,0.675417661,0,1,0,0,0,0,1,4
Timo Meier,1384,394,123,141,264,0.670050761,0,1,0,0,0,0,1,4
Mike Fidler,9848,271,84,97,181,0.667896679,0,1,0,0,0,0,0,4
Nick Schmaltz,1582,364,78,163,241,0.662087912,0,1,0,0,0,0,0,4
Pierre-Luc Dubois,1185,361,102,137,239,0.662049861,0,1,0,0,0,0,1,4
Jesper Bratt,1329,307,70,133,203,0.661237785,0,1,0,0,0,0,0,4
Ray Allison,9338,238,64,93,157,0.659663866,0,1,0,0,0,0,0,4
Serge Bernier,10944,302,78,119,197,0.652317881,0,1,0,0,0,0,1,4
Zdeno Ciger,7388,352,94,134,228,0.647727273,0,1,0,0,0,0,0,4
Kevin LaVallee,9159,366,110,125,235,0.642076503,0,1,0,0,0,0,0,4
Evgenii Dadonov,2953,413,124,141,265,0.641646489,0,1,0,0,0,0,0,4
Peter Ihnacak,8732,417,102,165,267,0.64028777,0,1,0,0,0,0,0,4
Viktor Arvidsson,1662,451,147,141,288,0.638580931,0,1,0,0,0,0,0,4
Anthony Mantha,1771,353,108,117,225,0.637393768,0,1,0,0,0,0,0,4
Tom Williams,10658,397,115,138,253,0.637279597,0,1,0,0,0,0,0,4
Bryan Rust,2396,424,124,146,270,0.636792453,0,1,0,0,0,0,0,4
Travis Konecny,1398,428,110,161,271,0.63317757,0,1,0,0,0,0,0,4
Paul Ysebaert,8325,532,149,187,336,0.631578947,0,1,1,0,0,0,0,4
Warren Young,9865,236,72,77,149,0.631355932,0,1,0,0,0,0,0,4
Ryane Clowe,4403,491,112,197,309,0.629327902,0,1,0,0,0,0,0,4
David Volek,8450,396,95,154,249,0.628787879,0,1,0,0,0,0,0,4
Gilbert Dionne,6952,223,61,79,140,0.627802691,0,1,0,0,0,0,0,4
Max Domi,1763,501,101,213,314,0.626746507,0,1,1,0,0,0,1,4
Mikko Makela,8549,423,118,147,265,0.626477541,0,1,0,0,0,0,0,4
Corey Millen,8762,335,90,119,209,0.623880597,0,1,0,0,0,0,0,4
Jack Valiquette,10133,350,84,134,218,0.622857143,0,1,0,0,0,0,1,4
Dylan Strome,1378,273,67,103,170,0.622710623,0,1,0,0,0,0,1,4
Nikolai Zherdev,3732,421,115,146,261,0.619952494,0,1,0,0,0,0,1,4
Mike Zuke,10197,455,86,196,282,0.61978022,0,1,0,0,0,0,0,4
John Chabot,9165,508,84,228,312,0.614173228,0,1,1,0,0,0,0,4
Conor Garland,1487,241,66,82,148,0.614107884,0,1,0,0,0,0,0,4
Paul Holmgren,10025,527,144,179,323,0.612903226,0,1,1,0,0,0,0,4
Oliver Bjorkstrand,1833,382,111,123,234,0.612565445,0,1,0,0,0,0,0,4
Matti Hagman,10021,237,56,89,145,0.611814346,0,1,0,0,0,0,0,4
Jonathan Cheechoo,5035,501,170,135,305,0.608782435,0,1,1,0,0,0,0,4
Reg Kerr,9685,263,66,94,160,0.608365019,0,1,0,0,0,0,0,4
Eddie Johnstone,10219,426,122,136,258,0.605633803,0,1,0,0,0,0,0,4
P.A. Parenteau,4482,491,114,182,296,0.602851324,0,1,0,0,0,0,0,4
Michel Bergeron,10182,229,80,58,138,0.602620087,0,1,0,0,0,0,0,4
Alexander Semak,7526,289,83,91,174,0.602076125,0,1,0,0,0,0,0,4
Thomas Chabot,1393,313,42,146,188,0.600638978,0,1,0,0,0,0,0,4
Daniel Marois,7592,350,117,93,210,0.6,0,1,0,0,0,0,0,4
Pierre Jarry,10854,344,88,117,205,0.595930233,0,1,0,0,0,0,1,4
Wojtek Wolski,3489,451,99,168,267,0.592017738,0,1,0,0,0,0,0,4
Rod Schutt,9820,286,77,92,169,0.590909091,0,1,0,0,0,0,1,4
Dave Lumley,10299,437,98,160,258,0.590389016,0,1,0,0,0,0,0,4
Jonathan Drouin,1754,427,75,177,252,0.590163934,0,1,0,0,0,0,1,4
Zach Werenski,1383,403,76,161,237,0.58808933,0,1,0,0,0,0,1,4
Martin Necas,998,203,45,74,119,0.586206897,0,1,0,0,0,0,1,4
Merlin Malinowski,9463,282,54,111,165,0.585106383,0,1,0,0,0,0,0,4
David Vyborny,6181,543,113,204,317,0.583793738,0,1,1,0,0,0,0,4
Shayne Gostisbehere,2011,463,74,196,270,0.583153348,0,1,0,0,0,0,0,4
Jakub Vrana,1575,321,97,90,187,0.582554517,0,1,0,0,0,0,1,4
Anthony Deangelo,1581,270,34,123,157,0.581481481,0,1,0,0,0,0,0,4
Alex Tuch,1580,305,73,104,177,0.580327869,0,1,0,0,0,0,0,4
Derek Smith,10272,335,78,116,194,0.579104478,0,1,0,0,0,0,0,4
Jan Hrdina,5801,513,101,196,297,0.578947368,0,1,1,0,0,0,0,4
Yuri Khmylev,6503,263,64,88,152,0.577946768,0,1,0,0,0,0,0,4
Rasmus Dahlin,799,277,31,129,160,0.577617329,0,1,0,0,0,0,1,4
Bob Crawford,9379,246,71,71,142,0.577235772,0,1,0,0,0,0,0,4
Andy Brickley,9320,385,82,140,222,0.576623377,0,1,0,0,0,0,0,4
Joey Johnston,10964,332,85,106,191,0.575301205,0,1,0,0,0,0,1,4
Blair Chapman,9809,402,106,125,231,0.574626866,0,1,0,0,0,0,1,4
Dominik Kubalik,1924,202,62,54,116,0.574257426,0,1,0,0,0,0,0,4
Nils Ekman,5996,264,60,91,151,0.571969697,0,1,0,0,0,0,0,4
William Karlsson,2178,533,126,178,304,0.570356473,0,1,1,0,0,0,0,4
Devon Toews,1660,235,33,101,134,0.570212766,0,1,0,0,0,0,0,4
Sergei Berezin,6124,502,160,126,286,0.569721116,0,1,1,0,0,0,0,4
Petr Cajanek,4471,269,46,107,153,0.568773234,0,1,0,0,0,0,0,4
Charles McAvoy,1196,313,34,144,178,0.568690096,0,1,0,0,0,0,1,4
Steve Christoff,9460,248,77,64,141,0.568548387,0,1,0,0,0,0,0,4
Peter Lee,9819,431,114,131,245,0.568445476,0,1,0,0,0,0,1,4
Andre Burakovsky,1774,519,123,172,295,0.568400771,0,1,1,0,0,0,0,4
Zach Hyman,2433,421,113,126,239,0.567695962,0,1,0,0,0,0,0,4
Shea Theodore,1777,395,58,165,223,0.564556962,0,1,0,0,0,0,0,4
Troy Terry,1510,204,52,63,115,0.56372549,0,1,0,0,0,0,0,4
Steve Tambellini,9451,553,160,150,310,0.560578662,0,1,1,0,0,0,1,4
Andrei Kostitsyn,3738,398,103,119,222,0.557788945,0,1,0,0,0,0,1,4
Mikhail Grabovski,3607,534,125,171,296,0.554307116,0,1,1,0,0,0,0,4
Larry Romanchych,10866,298,68,97,165,0.553691275,0,1,0,0,0,0,0,4
Gary Sargent,10167,402,61,161,222,0.552238806,0,1,0,0,0,0,0,4
Derek Plante,7254,450,96,152,248,0.551111111,0,1,0,0,0,0,0,4
Clarke MacArthur,3800,552,133,171,304,0.550724638,0,1,1,0,0,0,0,4
Brian Lawton,8488,483,112,154,266,0.550724638,0,1,0,0,0,0,1,4
Jake Debrusk,1389,321,92,84,176,0.548286604,0,1,0,0,0,0,1,4
Norm Dupont,9664,256,55,85,140,0.546875,0,1,0,0,0,0,0,4
Chris Oddleifson,10749,524,95,191,286,0.545801527,0,1,1,0,0,0,1,4
Dave Gardner,10504,350,75,115,190,0.542857143,0,1,0,0,0,0,1,4
Paul Gagne,9146,390,110,101,211,0.541025641,0,1,0,0,0,0,0,4
Anthony Cirelli,1444,294,66,93,159,0.540816327,0,1,0,0,0,0,0,4
Mike Kaszycki,9839,226,42,80,122,0.539823009,0,1,0,0,0,0,0,4
Peter Mueller,3085,297,63,97,160,0.538720539,0,1,0,0,0,0,1,4
Ryan Whitney,3996,481,50,209,259,0.538461538,0,1,0,0,0,0,1,4
Mike Allison,9162,499,102,166,268,0.537074148,0,1,0,0,0,0,0,4
Espen Knutsen,7061,207,30,81,111,0.536231884,0,1,0,0,0,0,0,4
Anthony Duclair,1824,470,120,132,252,0.536170213,0,1,0,0,0,0,0,4
Anatoli Semenov,7215,362,68,126,194,0.535911602,0,1,0,0,0,0,0,4
Chris Kontos,8722,230,54,69,123,0.534782609,0,1,0,0,0,0,1,4
Ron Sedlbauer,10143,430,143,86,229,0.53255814,0,1,0,0,0,0,0,4
Kip Miller,7634,449,74,165,239,0.532293987,0,1,0,0,0,0,0,4
Phillip Danault,2154,471,82,168,250,0.530785563,0,1,0,0,0,0,0,4
Kevin Todd,7916,383,70,133,203,0.53002611,0,1,0,0,0,0,0,4
Gilles Hamel,9387,519,127,147,274,0.527938343,0,1,1,0,0,0,0,4
Jason Zucker,2375,550,155,135,290,0.527272727,0,1,1,0,0,0,0,4
Paul Lawless,8721,239,49,77,126,0.527196653,0,1,0,0,0,0,1,4
Joni Pitkanen,3995,535,57,225,282,0.527102804,0,1,1,0,0,0,1,4
Mark Taylor,9529,209,42,68,110,0.526315789,0,1,0,0,0,0,0,4
Keith Jones,7464,491,117,141,258,0.525458248,0,1,0,0,0,0,0,4
Aaron Ekblad,1563,554,97,194,291,0.525270758,0,1,1,0,0,0,1,4
